sentid	len	stage	elapsedtime	logprob	frags	numitems	golditems	totalgolditems
1	9	dop	0.0013849999999999973	-13.367353894271593	10	79	17	17
2	8	dop	0.0007500000000000007	-10.252919458976828	7	80	15	15
3	8	dop	0.0013149999999999967	-9.440521183490715	7	79	15	15
4	9	dop	0.001353000000000007	-11.552213595711985	9	85	17	17
5	6	dop	0.0005959999999999993	-7.785561401375606	6	45	11	11
6	5	dop	0.00033500000000000196	-4.868104754379379	3	43	9	9
7	5	dop	0.0003579999999999972	-3.9921220876065484	3	45	9	9
